Personaje,Actor,Pelicula,Año
Cafe Patron,David Michael McMillan,Los vengadores,2012
Guard,Sean Meehan,Los vengadores,2012
Woman in Restaurant,Jillian Morgese,Los vengadores,2012
Hannah Rippenger,Alexandria Morrow,Los vengadores,2012
Stuttgart Biergarten Patron,Chuck Morsher,Los vengadores,2012
Waitress,Joti Nagra,Los vengadores,2012
Gala Museum Patron,Holly Neelie,Los vengadores,2012
Extra,Caleb Daniel Noal,Los vengadores,2012
Head Security Guard,Donn R. Nottage,Los vengadores,2012
New York City Pedestrian,Joseph O'Brien,Los vengadores,2012
S.H.I.E.L.D. Agent,Andrea-Nichole Olivas,Los vengadores,2012
S.H.I.E.L.D. Agent,Jeremy Orr,Los vengadores,2012
New York Pedestrian,Nate Paige,Los vengadores,2012
Shiel Employee,Martin Palmer,Los vengadores,2012
Mercenary,Francisco Peramos,Los vengadores,2012
Museum Gala Guest,Maria Perossa,Los vengadores,2012
Beer Garden Patron,Roger Petan,Los vengadores,2012
Extra,Caleb Pieplow,Los vengadores,2012
Helicarrier Shield Agent,Daniel Pimentel,Los vengadores,2012
S.H.I.E.L.D. Agent - Loki Escort,Frank Powers,Los vengadores,2012
S.H.I.E.L.D. Agent,Jaime Powers,Los vengadores,2012
Stuttgart Gala Patron,Brent Reichert,Los vengadores,2012
Gala Guest,Darwin Reina,Los vengadores,2012
S.H.E.I.L.D. Agent,Kelly Ruble,Los vengadores,2012
Alien,Mako San,Los vengadores,2012
Restaurant Patron,Gina Sarno,Los vengadores,2012
Gala Guest,Debbie Scaletta,Los vengadores,2012
New York City Police Officer,Robert B. Schneider IV,Los vengadores,2012
Agent Scott Kelly,Shaun V. Scott,Los vengadores,2012
New York Police Officer in Firefight,Jeff Seich,Los vengadores,2012
Stuttgart Beer Garden Patron,Christina Shaffer,Los vengadores,2012
Lab Tech,Alonda Shevette,Los vengadores,2012
Museum Gala Patron,Douglas Slygh,Los vengadores,2012
Pedestrian,Jimmy Star,Los vengadores,2012
S.H.I.E.L.D. Agent #4,Colin Strause,Los vengadores,2012
Gala Patron,Robert P. Thitoff,Los vengadores,2012
S.H.I.E.L.D. Agent,George Thomas,Los vengadores,2012
Pedestrian,Shane Thompson,Los vengadores,2012
S.H.I.E.L.D Agent,JT Tomangi,Los vengadores,2012
Mercenary,Jerry Lee Tucker,Los vengadores,2012
Child on News #1,Tai Urban,Los vengadores,2012
Running Pedestrian,Chris Vaina,Los vengadores,2012
Sweeper,Sandra Weston,Los vengadores,2012
Gala Patron,Jasmine With,Los vengadores,2012
Carrier Bridge Tech,Jacob Francis Worrall,Los vengadores,2012
Gala Guest,Chase Ziegler,Los vengadores,2012
Barbershop,Seth Zielicke,Los vengadores,2012
