Personaje,Actor,Pelicula,Año
Tony Stark,Robert Downey Jr.,Iron Man 3,2013
Pepper Potts,Gwyneth Paltrow,Iron Man 3,2013
Colonel James Rhodes,Don Cheadle,Iron Man 3,2013
Aldrich Killian,Guy Pearce,Iron Man 3,2013
Maya Hansen,Rebecca Hall,Iron Man 3,2013
Happy Hogan,Jon Favreau,Iron Man 3,2013
Trevor Slattery,Ben Kingsley,Iron Man 3,2013
Savin,James Badge Dale,Iron Man 3,2013
Brandt,Stephanie Szostak,Iron Man 3,2013
Jarvis(voice),Paul Bettany,Iron Man 3,2013
President Ellis,William Sadler,Iron Man 3,2013
Mrs. Davis,Dale Dickey,Iron Man 3,2013
Harley Keener,Ty Simpkins,Iron Man 3,2013
Vice President Rodriguez,Miguel Ferrer,Iron Man 3,2013
Doctor Wu(as Wang Xueqi),Xueqi Wang,Iron Man 3,2013
Ho Yinsen,Shaun Toub,Iron Man 3,2013
Annoying Conference Guy,Matthew Sterling Nye,Iron Man 3,2013
Pat Kiernan,Pat Kiernan,Iron Man 3,2013
Josh Elliott,Josh Elliott,Iron Man 3,2013
Megan Henderson,Megan Henderson,Iron Man 3,2013
Thomas Roberts,Thomas Roberts,Iron Man 3,2013
Bill Maher,Bill Maher,Iron Man 3,2013
Joan Rivers,Joan Rivers,Iron Man 3,2013
George Kotsiopoulos,George Kotsiopoulos,Iron Man 3,2013
Neptune's Net Girl,Bronte D'Esposito,Iron Man 3,2013
Neptune's Net Boy,Noah Visconti,Iron Man 3,2013
Taggart,Ashley Hamilton,Iron Man 3,2013
Happy's Nurse,Brooke Jaye Taylor,Iron Man 3,2013
Hospital News Reporter(as Kim Dean),Kim Holderness,Iron Man 3,2013
Pushy Tabloid Reporter,Glenn Foster,Iron Man 3,2013
Helicopter Pilot #1,Anthony Reynolds,Iron Man 3,2013
Helicopter Pilot #2,Kendrick Cross,Iron Man 3,2013
Reporter at House Wreckage,Tom Clark,Iron Man 3,2013
Mandarin Studio Technician,Brian Schaeffer,Iron Man 3,2013
Mandarin Look-Out,John Eddins,Iron Man 3,2013
Rose Hill Sheriff,Spencer Garrett,Iron Man 3,2013
Rose Hill Deputy/Extremis Soldier,Rockey Dickey Jr.,Iron Man 3,2013
Rose Hill Christmas Tree Shopper,Drew Michael Hershner,Iron Man 3,2013
Senior Technician,Jan Broberg,Iron Man 3,2013
Junior Technician(as Sarah Burkharat),Sarah Burkhardt,Iron Man 3,2013
Technical Director,Nate Bynum,Iron Man 3,2013
Satellite Technician,Andy Lauer,Iron Man 3,2013
Vice President's Analyst,Andrew Lander,Iron Man 3,2013
Thomas Richards,Tom Virtue,Iron Man 3,2013
President's Aide,Roy McCrerey,Iron Man 3,2013
Laughing Insurgent,Demetrios Hodges,Iron Man 3,2013
Scared Insurgent,Serdar Kalsin,Iron Man 3,2013
Pageant Emcee,Bobby Tisdale,Iron Man 3,2013
Miss Elk Ridge,Yvonne Zima,Iron Man 3,2013
Pageant Judge,Stan Lee,Iron Man 3,2013
Gary the Cameraman,Adam Pally,Iron Man 3,2013
Chad Davis,James Rackley,Iron Man 3,2013
Extremis Candidate,Cullen Moss,Iron Man 3,2013
Room Service Waiter/Extremis Soldier(as Jake Dewitt),Jacob Dewitt,Iron Man 3,2013
Mandarin Guard,Kevin Arnold,Iron Man 3,2013
Sweat Shop Agent,Rebecca Mader,Iron Man 3,2013
Mandarin Guard,Juan Bofill,Iron Man 3,2013
Mandarin Guard(as David Buglione),David Anthony Buglione,Iron Man 3,2013
Mandarin Guard,Adam Lytle,Iron Man 3,2013
Mandarin Guard(as Paul O'Connor),Paul Andrew O'Connor,Iron Man 3,2013
Sleepy Mandarin Girl,Gwendalyn Barker,Iron Man 3,2013
Mandarin Guard,Phil Ortiz,Iron Man 3,2013
Annoyed Mandarin Guard,Steve Wilder,Iron Man 3,2013
Mandarin Party Girl #1,Luciana Faulhaber,Iron Man 3,2013
Tony's Guard,Mike Massa,Iron Man 3,2013
Mandarin Party Girl #2(as Karina Florez),Kary Musa,Iron Man 3,2013
Ponytail Express,Mark Kubr,Iron Man 3,2013
Reluctant AIM Guard(as Si-Fu Eric Oram),Eric Oram,Iron Man 3,2013
AIM Ping Pong Girl(as Naomi Parshin),Naomi Grace,Iron Man 3,2013
AIM Ping Pong Girl(as Aurelia Rose),Aurelia Riley,Iron Man 3,2013
AIM Ping Pong Girl,Johanna Yunda,Iron Man 3,2013
Secret Service Agent,Wesley Thompson,Iron Man 3,2013
Vice President's Daughter,Jenna Ortega,Iron Man 3,2013
Iron Patriot Fan #1(as TC Anyachonkeya),Toochukwu T.C. Anyachonkeya,Iron Man 3,2013
Iron Patriot Fan #2,Chad Kurtz,Iron Man 3,2013
Navy Op,Corey Hawkins,Iron Man 3,2013
Air Force One Officer,Cal Johnson,Iron Man 3,2013
Commander,Linden Ashby,Iron Man 3,2013
Heather,Sarah Farooqui,Iron Man 3,2013
Extremis Soldier,Sala Baker,Iron Man 3,2013
Extremis Soldier,Kial Butler,Iron Man 3,2013
Extremis Soldier,Nick Brandon,Iron Man 3,2013
Extremis Soldier,Dan Brown,Iron Man 3,2013
Extremis Soldier(as a different name),Fernando Chien,Iron Man 3,2013
Extremis Soldier,Ilram Choi,Iron Man 3,2013
Extremis Soldier,Brycen Counts,Iron Man 3,2013
Extremis Soldier,Kiante Elam,Iron Man 3,2013
Extremis Soldier,Dane Farwell,Iron Man 3,2013
Extremis Soldier,Mark Fichera,Iron Man 3,2013
Extremis Soldier,Colin Follenweider,Iron Man 3,2013
Extremis Soldier,Aja Frary,Iron Man 3,2013
Extremis Soldier,Mark Ginther,Iron Man 3,2013
Extremis Soldier,Adrian Gonzales,Iron Man 3,2013
Extremis Soldier,Dennis Keiffer,Iron Man 3,2013
Extremis Soldier(as Sammy Le),Samuel Le,Iron Man 3,2013
Extremis Soldier,Tara Macken,Iron Man 3,2013
Extremis Soldier(as Billy Morts),William Morts,Iron Man 3,2013
Extremis Soldier,Jade Quon,Iron Man 3,2013
Extremis Soldier,J.C. Robaina,Iron Man 3,2013
Extremis Soldier,Markos Rounthwaite,Iron Man 3,2013
Extremis Soldier(as Philip J. Silvera),Philip J Silvera,Iron Man 3,2013
Extremis Soldier,Brian Simpson,Iron Man 3,2013
Extremis Soldier(as Mark Wagner),Mark Aaron Wagner,Iron Man 3,2013
Wu Jiaqi,Bingbing Fan,Iron Man 3,2013
Chinese News Reporter,Si Yu Li,Iron Man 3,2013
New Years Convention Technician,Johann Carchidi Abreu,Iron Man 3,2013
Secret Service Agent,Keion Adams,Iron Man 3,2013
Self,Daniel Agger,Iron Man 3,2013
NYE Party Guy,Joseph Akharoh Jr.,Iron Man 3,2013
Malibu Bar Guy,Paul Aldanée,Iron Man 3,2013
