Personaje,Actor,Pelicula,Año
Prisoner,Alysson Da Silva,Guardianes de la Galaxia,2014
Yellow Crackle Glazed Alien,Logan Dean,Guardianes de la Galaxia,2014
Nova Guard,Wayne Devlin,Guardianes de la Galaxia,2014
Xandarian Alien,Simara Dixon,Guardianes de la Galaxia,2014
Xander,Jadey Duffield,Guardianes de la Galaxia,2014
Flocks Alien Prisoner,Barny DuPlessis,Guardianes de la Galaxia,2014
Kyln Prisoner,Mark Epstein,Guardianes de la Galaxia,2014
Prisoner,Mark Falvo,Guardianes de la Galaxia,2014
Alien Prisoner,Kristen Fick,Guardianes de la Galaxia,2014
Groot's Flower Girl,Gracie Fitch,Guardianes de la Galaxia,2014
Nova Corps Civilian,CJ Forst,Guardianes de la Galaxia,2014
Hospital Visitor,Melissa Galloway,Guardianes de la Galaxia,2014
Xandar Traveler,Alex Gillison,Guardianes de la Galaxia,2014
Xandar Citizen,Sophie Gooding,Guardianes de la Galaxia,2014
Crane Operator,Henry Goodrich,Guardianes de la Galaxia,2014
Neo-Nazi Prisoner,Neil Grant,Guardianes de la Galaxia,2014
Howard the Duck(voice) ,Seth Green,Guardianes de la Galaxia,2014
Kallulian Kyln Prisoner,Victoria Gugenheim,Guardianes de la Galaxia,2014
Sakaaran,Antti Hakala,Guardianes de la Galaxia,2014
One-Eyed Foreign Alien,Will Harrison-Wallace,Guardianes de la Galaxia,2014
Prisoner/Sakaarans,Simon Hatt,Guardianes de la Galaxia,2014
Alien Prisoner,Leigh Holland,Guardianes de la Galaxia,2014
Prisoner,Pete Buzzsaw Holland,Guardianes de la Galaxia,2014
Knowhere Miner,James Walton Ingham,Guardianes de la Galaxia,2014
Nova Corps Riot Guard/Xandar Citizen,Phoenix James,Guardianes de la Galaxia,2014
Exolon Monk,Lee Edward Jones,Guardianes de la Galaxia,2014
Prisoner,Lloyd Kaufman,Guardianes de la Galaxia,2014
Sakaar Pilot,Bless Klepcharek,Guardianes de la Galaxia,2014
Sakaraan Pilot,Bless Klepcharek,Guardianes de la Galaxia,2014
Toothless,Ricky Knight,Guardianes de la Galaxia,2014
Prisoner,Joelle Koissi,Guardianes de la Galaxia,2014
Rainer Kid,Michelle Lam,Guardianes de la Galaxia,2014
Alien,Jeneva Leonard-kutler,Guardianes de la Galaxia,2014
Sakaarans(voice) ,Jonathan Lipow,Guardianes de la Galaxia,2014
Prisoner,Matt Lott,Guardianes de la Galaxia,2014
Prison Guard,David L. Marston,Guardianes de la Galaxia,2014
Xandar Citizen,Ida May,Guardianes de la Galaxia,2014
Prison Alien,Matthew David McCarthy,Guardianes de la Galaxia,2014
Prisoner,Stephen McDade,Guardianes de la Galaxia,2014
Xandar Resident,Erica Melargo,Guardianes de la Galaxia,2014
Nova Corps Officer,Serhat Metin,Guardianes de la Galaxia,2014
Blue Miner,Ker Milan,Guardianes de la Galaxia,2014
Exolon Monk,Sandeep Mohan,Guardianes de la Galaxia,2014
Neo-Nazi Prisoner,Nigel Murfitt,Guardianes de la Galaxia,2014
Nova Corps,Yazzmin Newell,Guardianes de la Galaxia,2014
Cloned Girl,Emily Ng,Guardianes de la Galaxia,2014
Knowhere Miner,Emeson Nwolie,Guardianes de la Galaxia,2014
Rocket Racoon Facial Reference,Oreo,Guardianes de la Galaxia,2014
Sam,Kyle Pacek,Guardianes de la Galaxia,2014
Nova Corps Officer,Jessica Paull,Guardianes de la Galaxia,2014
Xandarian,Marcus Payne,Guardianes de la Galaxia,2014
Xandar Citizen,Loren Peta,Guardianes de la Galaxia,2014
Prison Guard,Jimmy Pethrus,Guardianes de la Galaxia,2014
Nova Yellow Alien Worker,Louise Port,Guardianes de la Galaxia,2014
Huge Inmate,Oliver Price,Guardianes de la Galaxia,2014
Miner,Joseph Quartson,Guardianes de la Galaxia,2014
Alien 1,Deborah Rosan,Guardianes de la Galaxia,2014
Prison Guard,Gordon Round,Guardianes de la Galaxia,2014
Kyln Prisoner,Steve Saunders,Guardianes de la Galaxia,2014
First Citizen,Santi Scinelli,Guardianes de la Galaxia,2014
Alien Prisoner,Andrew Scott-Marshall,Guardianes de la Galaxia,2014
Prisoner,Julian Seager,Guardianes de la Galaxia,2014
Exolon Monk,Gigi Siegel,Guardianes de la Galaxia,2014
Prisoner #44 in Outer Space,Daniel D Skinner,Guardianes de la Galaxia,2014
Kyln Prisoner,Clem So,Guardianes de la Galaxia,2014
Xandar Resident,Adrian South,Guardianes de la Galaxia,2014
Prisoner,Jimmy Star,Guardianes de la Galaxia,2014
Kyln Prisoner,Peter Theobalds,Guardianes de la Galaxia,2014
Sad Horned Man,Tom Tremayne,Guardianes de la Galaxia,2014
Holographic Dog,Wesley Von Spears,Guardianes de la Galaxia,2014
Yellow Alien,Colette Von Tora,Guardianes de la Galaxia,2014
Alien,Paul Warren,Guardianes de la Galaxia,2014
Xandar Youth,Belle Williams,Guardianes de la Galaxia,2014
Civilian,Leila Wong,Guardianes de la Galaxia,2014
Female Prison Guard,Tatiana Zarubova,Guardianes de la Galaxia,2014
