Personaje,Actor,Pelicula,Año
U.S. Marine,Joshua Ferdinand,El primer vengador,2011
1940's NY Car Driver,Sam Fink,El primer vengador,2011
German Soldier,Scott Ford,El primer vengador,2011
Newsreel Announcer,Spencer Garrett,El primer vengador,2011
HYDRA Guard,Joe Garvey,El primer vengador,2011
Italian Soldier,Rich Goble,El primer vengador,2011
SHIELD Agent,Drew Gregory,El primer vengador,2011
Russian POW,Salem Hanna,El primer vengador,2011
U.S. Marine,James Hare,El primer vengador,2011
U.S. Soldier,Leigh Holland,El primer vengador,2011
Model in Modern NYC,Jacqueline Honulik,El primer vengador,2011
1930s Citizen,Vera Horton,El primer vengador,2011
Props Man,Nick Horwood,El primer vengador,2011
Soldier,Tim Howard,El primer vengador,2011
Officer's Wife,Sonja Isabella,El primer vengador,2011
Producer/Soldier,Tobias James-Samuels,El primer vengador,2011
Hydra Soldier,Todd Von Joel,El primer vengador,2011
HYDRA Soldier,Jacob Johnston,El primer vengador,2011
Reporter,Chris Jorie,El primer vengador,2011
U.S. Soldier,John Samuel Kande,El primer vengador,2011
HYDRA Soldier,Matt Kohler,El primer vengador,2011
General,Stan Lee,El primer vengador,2011
Brooklyn Tour Guide,Steve Leighton,El primer vengador,2011
SHIELD Agent X,Addison LeMay,El primer vengador,2011
Prisoner of War,Alan Mandel,El primer vengador,2011
Brooklyn Pedestrian,Josh Margulies,El primer vengador,2011
U.S. Soldier,Anthony Milton,El primer vengador,2011
New York Child,Esme Molly,El primer vengador,2011
Hydra Infantry,Michael Mulqueen,El primer vengador,2011
Theatre Spectator,Brian Niblett,El primer vengador,2011
S.H.I.E.L.D. Lieutenant,Nathan Nolan,El primer vengador,2011
Hydra Soldier,Richard Norris,El primer vengador,2011
Theatre Spectator,Martin Poole,El primer vengador,2011
Times Square Pedestrian,Christopher Poultney,El primer vengador,2011
Reporter,Eric Reeve,El primer vengador,2011
U.S. Infantry Soldier,Colin Reilly,El primer vengador,2011
Lab Tech,Nathan Robinson,El primer vengador,2011
Hydra/Military Police,Shane Salter,El primer vengador,2011
U.S. Marine,Geoff Searle,El primer vengador,2011
HYDRA Soldier,Drew Sherman,El primer vengador,2011
New York Taxi Driver,Colin Stinton,El primer vengador,2011
Dodgers Announcer(voice) ,Michael Swan,El primer vengador,2011
Soldier,Jayme Swiftt,El primer vengador,2011
Prisoner of War,Shaun Troke,El primer vengador,2011
Hydra Soldier,Sy Turner,El primer vengador,2011
Scientist,Matt Tyzack,El primer vengador,2011
American Civilian 1940s,Chris Wilson,El primer vengador,2011
