Personaje,Actor,Pelicula,Año
Armed Guard,Drew Breeden,Capitán América y el Soldado del Invierno,2014
Mall Guest,Cristee Brianas,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Kathryn Bright,Capitán América y el Soldado del Invierno,2014
Quinjet Pilot,John Brooks Jr.,Capitán América y el Soldado del Invierno,2014
Mall Patron,Brittany Buck,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Jeremy Michael Burns,Capitán América y el Soldado del Invierno,2014
Museum Patron,Amanda Burry,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Travis Allen Bush,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Jose W. Byers,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Rachel Camacho,Capitán América y el Soldado del Invierno,2014
DC Businessman,Ulysses E. Campbell,Capitán América y el Soldado del Invierno,2014
Baseball Player,Steven Thomas Capp,Capitán América y el Soldado del Invierno,2014
Secretary of Defense,Cullen G. Chambers,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Sandhya Chandel,Capitán América y el Soldado del Invierno,2014
Driver,Michael V. Chastain,Capitán América y el Soldado del Invierno,2014
Natasha Romanoff/Black Widow,Neshma Chemburkar,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Giles Clarke,Capitán América y el Soldado del Invierno,2014
DC Businessman,David Cohen,Capitán América y el Soldado del Invierno,2014
SHIELD Flight Deck Crew Member,Joel Cole,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Adrian Coles,Capitán América y el Soldado del Invierno,2014
WW2 Russian Soldier,Andrew Constantini,Capitán América y el Soldado del Invierno,2014
Mall Patron,Kelly Copeland,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Martin Cremer,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Layla Cushman,Capitán América y el Soldado del Invierno,2014
Virtual Rappelling Strike Force Agent,Guy Cusson,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Rydell Danzie,Capitán América y el Soldado del Invierno,2014
National Mall Jogger,Alan Davis,Capitán América y el Soldado del Invierno,2014
Surgeon,Rick L. Dean,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Rick Dremann,Capitán América y el Soldado del Invierno,2014
Sergeant Duffy - ADR,Damon Driver,Capitán América y el Soldado del Invierno,2014
Tourist,Alex Drummond III,Capitán América y el Soldado del Invierno,2014
Museum Tourist,Bruce Drummond,Capitán América y el Soldado del Invierno,2014
DC Commuter,Shannon Edwards,Capitán América y el Soldado del Invierno,2014
Shield Strike Agent,Michael Eric,Capitán América y el Soldado del Invierno,2014
Museum Vistor,Mark Falvo,Capitán América y el Soldado del Invierno,2014
DC Professional,John Fecek,Capitán América y el Soldado del Invierno,2014
Pedestrian,Rod Fielder,Capitán América y el Soldado del Invierno,2014
Virtual DC Cop,Roshawn Franklin,Capitán América y el Soldado del Invierno,2014
SHIELD Tech Agent,Alvin J. Frazier II,Capitán América y el Soldado del Invierno,2014
Guest Services Volunteer,Logan Fry,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Lauren Gabbard,Capitán América y el Soldado del Invierno,2014
Mall Patron,Carmen Gangale,Capitán América y el Soldado del Invierno,2014
Museum Guest,Bryan Geary,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,JoAnna Leigh Gerondale,Capitán América y el Soldado del Invierno,2014
Apple Store Shopper,Nicholas Gibeault,Capitán América y el Soldado del Invierno,2014
Museum Guest,Shawn Gonzalez,Capitán América y el Soldado del Invierno,2014
Dr. List,Henry Goodman,Capitán América y el Soldado del Invierno,2014
Museum Patron,David Gragg,Capitán América y el Soldado del Invierno,2014
Stabbing Vagrant,Rylend Grant,Capitán América y el Soldado del Invierno,2014
Smithsonian Visitor,Philip Greene,Capitán América y el Soldado del Invierno,2014
Museum Staff,Dot Gregory,Capitán América y el Soldado del Invierno,2014
Military Veteran,Jordan Greytak,Capitán América y el Soldado del Invierno,2014
Victim,Beshoy Hanna,Capitán América y el Soldado del Invierno,2014
SHIELD Security,Aswan Harris,Capitán América y el Soldado del Invierno,2014
Mall Patron,Carmen Dee Harris,Capitán América y el Soldado del Invierno,2014
Street Dealer,Kriz Chris Henri Harriz,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Brian Hartong,Capitán América y el Soldado del Invierno,2014
DC Businessman,Nate Hatton,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Josh Heileman,Capitán América y el Soldado del Invierno,2014
Pedestrian,Dominique Henderson,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,Rachel Herrick,Capitán América y el Soldado del Invierno,2014
Politician,David Hill,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Hamilton Ray Hodge,Capitán América y el Soldado del Invierno,2014
Smithsonian Guard,James Howard,Capitán América y el Soldado del Invierno,2014
Strike Force Agent,Johnathon L. Jackson,Capitán América y el Soldado del Invierno,2014
DC Businessman,Chris Jameson,Capitán América y el Soldado del Invierno,2014
ER Nurse,Domaine Javier,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Vimalraj Jayaseelan,Capitán América y el Soldado del Invierno,2014
Museum Guest,Christopher Kaczmarek,Capitán América y el Soldado del Invierno,2014
SHIELD Security Guard,Mike Karban,Capitán América y el Soldado del Invierno,2014
DC Cop,Bill Kennedy,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Robert E. Kerr,Capitán América y el Soldado del Invierno,2014
Museum Guest,Andrew Kiser,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent/Driver,Kevin Kissig,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Jason Klingensmith,Capitán América y el Soldado del Invierno,2014
Museum Visitor/Mall Patron,Sharyn Kmieciak,Capitán América y el Soldado del Invierno,2014
SHIELD Tech Agent,Tara Kodosky,Capitán América y el Soldado del Invierno,2014
Baron Wolfgang von Strucker,Thomas Kretschmann,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Inder Kumar,Capitán América y el Soldado del Invierno,2014
Man with Captain America Shirt,Justin Lally,Capitán América y el Soldado del Invierno,2014
DC Businesswoman,Jennifer Lavi,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Annette Lawless,Capitán América y el Soldado del Invierno,2014
Precision Driver,Kris Leiter,Capitán América y el Soldado del Invierno,2014
Smithsonian Museum Visitor,James Lewis,Capitán América y el Soldado del Invierno,2014
CIA Recruit,Lucas Lind,Capitán América y el Soldado del Invierno,2014
Pedestrian,Scott Lockhart,Capitán América y el Soldado del Invierno,2014
SWAT Member,Carlos Lopez Jr.,Capitán América y el Soldado del Invierno,2014
Smithsonian Employee,George Ludden,Capitán América y el Soldado del Invierno,2014
Quinjet Pilot,Les Mahoney,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Phil Mallon,Capitán América y el Soldado del Invierno,2014
DC Cop,David L. Marston,Capitán América y el Soldado del Invierno,2014
Hostage,Charlene May,Capitán América y el Soldado del Invierno,2014
Pedestrian,Joseph McCaughtry,Capitán América y el Soldado del Invierno,2014
Museum-Employee Supervisor,Terry McConnaughey,Capitán América y el Soldado del Invierno,2014
Pedestrian/Precision Driver,Kayla McDonald,Capitán América y el Soldado del Invierno,2014
Colonel,Orlando McNary,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Neal McNeil,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Britney Meeks,Capitán América y el Soldado del Invierno,2014
Apple Employee,Justin Mitchiner,Capitán América y el Soldado del Invierno,2014
DC Cop,Brian R. Moore,Capitán América y el Soldado del Invierno,2014
DC Professional,Tony Moore,Capitán América y el Soldado del Invierno,2014
Mall Patron,Sue Danna Myer,Capitán América y el Soldado del Invierno,2014
Mall Patron,Paul Nandzik,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Marlena Neal,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Donn R. Nottage,Capitán América y el Soldado del Invierno,2014
Wanda Maximoff,Elizabeth Olsen,Capitán América y el Soldado del Invierno,2014
Ship Hostage,Philip Ongert,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,Robert Peoples,Capitán América y el Soldado del Invierno,2014
Man Exiting Apartment 1938 Flashback,Roger Petan,Capitán América y el Soldado del Invierno,2014
Mall Patron,Edward Pfeifer,Capitán América y el Soldado del Invierno,2014
DC Businesswoman,Jenna Pichot,Capitán América y el Soldado del Invierno,2014
Museum Security Guard,Bryan Pixler,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Paul J. Porter,Capitán América y el Soldado del Invierno,2014
SHIELD Tech,Sage Porter,Capitán América y el Soldado del Invierno,2014
DC Construction Worker/Pedestrian,LaTrallo Presley,Capitán América y el Soldado del Invierno,2014
SHIELD Agent/Mall Patron,Kristina Randjelovic,Capitán América y el Soldado del Invierno,2014
Pedestrian/Businessman,Marse Ratliff,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Martin Reese,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Brent Reichert,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Katana Ren,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,Danea Rhodes,Capitán América y el Soldado del Invierno,2014
DC Businessman,Vincent Riviezzo,Capitán América y el Soldado del Invierno,2014
Sound Guy,Paul David Roberts,Capitán América y el Soldado del Invierno,2014
Museum Visitor,Jason Rocco,Capitán América y el Soldado del Invierno,2014
Military Veteran,Earl Rorer,Capitán América y el Soldado del Invierno,2014
1940s Soldier,Trent Rowland,Capitán América y el Soldado del Invierno,2014
Mall Shopper/Museum Guest,Gabriella Sagnes,Capitán América y el Soldado del Invierno,2014
Kid at the Museum,Jostein Sagnes,Capitán América y el Soldado del Invierno,2014
